month,year,location,stringency_index
1,2020,Cambodia,0.0
1,2020,China,69.91
1,2020,Hong Kong,49.07
1,2020,India,10.19
1,2020,Japan,2.78
1,2020,Macao,36.11
1,2020,Malaysia,19.44
1,2020,Nepal,13.89
1,2020,Philippines,19.44
1,2020,Singapore,25.0
1,2020,South Korea,2.78
1,2020,Sri Lanka,8.33
1,2020,Taiwan,19.44
1,2020,Thailand,0.0
1,2020,United Arab Emirates,2.78
1,2020,Vietnam,25.93
1,2021,Afghanistan,12.04
1,2021,Armenia,
1,2021,Azerbaijan,89.81
1,2021,Bahrain,58.33
1,2021,Bangladesh,81.02
1,2021,Bhutan,81.94
1,2021,Brunei,35.19
1,2021,Cambodia,62.96
1,2021,China,78.24
1,2021,Georgia,84.26
1,2021,Hong Kong,71.3
1,2021,India,68.98
1,2021,Indonesia,69.91
1,2021,Iran,80.09
1,2021,Iraq,53.7
1,2021,Israel,87.04
1,2021,Japan,49.54
1,2021,Jordan,81.48
1,2021,Kazakhstan,68.52
1,2021,Kuwait,71.3
1,2021,Kyrgyzstan,41.67
1,2021,Laos,29.63
1,2021,Lebanon,85.19
1,2021,Macao,23.15
1,2021,Malaysia,77.31
1,2021,Maldives,
1,2021,Mongolia,75.46
1,2021,Myanmar,75.93
1,2021,Nepal,60.19
1,2021,North Korea,
1,2021,Northern Cyprus,
1,2021,Oman,45.37
1,2021,Pakistan,64.35
1,2021,Palestine,78.7
1,2021,Philippines,74.54
1,2021,Qatar,62.04
1,2021,Saudi Arabia,56.48
1,2021,Singapore,50.93
1,2021,South Korea,67.59
1,2021,Sri Lanka,81.94
1,2021,Syria,39.35
1,2021,Taiwan,25.0
1,2021,Tajikistan,48.15
1,2021,Thailand,63.89
1,2021,Timor,60.19
1,2021,Turkey,80.09
1,2021,United Arab Emirates,62.04
1,2021,Uzbekistan,42.59
1,2021,Vietnam,67.59
1,2021,Yemen,27.78
1,2022,Afghanistan,19.44
1,2022,Armenia,
1,2022,Azerbaijan,59.83
1,2022,Bahrain,37.45
1,2022,Bangladesh,71.27
1,2022,Bhutan,78.7
1,2022,Brunei,54.63
1,2022,Cambodia,41.36
1,2022,China,79.17
1,2022,Georgia,44.44
1,2022,Hong Kong,65.74
1,2022,India,78.05
1,2022,Indonesia,67.81
1,2022,Iran,62.04
1,2022,Iraq,68.52
1,2022,Israel,48.91
1,2022,Japan,47.22
1,2022,Jordan,34.26
1,2022,Kazakhstan,76.85
1,2022,Kuwait,44.86
1,2022,Kyrgyzstan,47.22
1,2022,Laos,70.16
1,2022,Lebanon,48.74
1,2022,Macao,32.41
1,2022,Malaysia,49.04
1,2022,Maldives,
1,2022,Mongolia,40.28
1,2022,Myanmar,80.56
1,2022,Nepal,57.41
1,2022,North Korea,
1,2022,Northern Cyprus,
1,2022,Oman,55.65
1,2022,Pakistan,58.47
1,2022,Palestine,30.56
1,2022,Philippines,65.73
1,2022,Qatar,58.02
1,2022,Saudi Arabia,44.67
1,2022,Singapore,46.43
1,2022,South Korea,46.35
1,2022,Sri Lanka,53.8
1,2022,Syria,37.96
1,2022,Taiwan,25.12
1,2022,Tajikistan,29.63
1,2022,Thailand,50.93
1,2022,Timor,43.68
1,2022,Turkey,35.54
1,2022,Turkmenistan,
1,2022,United Arab Emirates,44.57
1,2022,Uzbekistan,45.37
1,2022,Vietnam,68.52
1,2022,Yemen,26.85
2,2020,Afghanistan,8.33
2,2020,Armenia,
2,2020,Bahrain,30.56
2,2020,Cambodia,0.0
2,2020,China,81.02
2,2020,Georgia,19.44
2,2020,Hong Kong,52.78
2,2020,India,10.19
2,2020,Iran,20.37
2,2020,Iraq,52.78
2,2020,Israel,19.44
2,2020,Japan,34.26
2,2020,Kuwait,13.89
2,2020,Lebanon,25.0
2,2020,Macao,46.3
2,2020,Malaysia,19.44
2,2020,Nepal,16.67
2,2020,Oman,19.44
2,2020,Pakistan,28.7
2,2020,Philippines,25.0
2,2020,Qatar,13.89
2,2020,Singapore,30.56
2,2020,South Korea,55.56
2,2020,Sri Lanka,11.11
2,2020,Taiwan,30.56
2,2020,Thailand,0.0
2,2020,United Arab Emirates,8.33
2,2020,Vietnam,47.22
2,2021,Afghanistan,12.04
2,2021,Armenia,
2,2021,Azerbaijan,72.22
2,2021,Bahrain,58.33
2,2021,Bangladesh,81.02
2,2021,Bhutan,43.06
2,2021,Brunei,35.19
2,2021,Cambodia,64.81
2,2021,China,78.24
2,2021,Georgia,83.33
2,2021,Hong Kong,71.3
2,2021,India,63.43
2,2021,Indonesia,69.91
2,2021,Iran,81.94
2,2021,Iraq,84.26
2,2021,Israel,87.04
2,2021,Japan,50.93
2,2021,Jordan,75.93
2,2021,Kazakhstan,71.3
2,2021,Kuwait,77.78
2,2021,Kyrgyzstan,41.67
2,2021,Laos,22.22
2,2021,Lebanon,92.59
2,2021,Macao,23.15
2,2021,Malaysia,77.31
2,2021,Maldives,
2,2021,Mongolia,73.61
2,2021,Myanmar,77.31
2,2021,Nepal,57.41
2,2021,North Korea,
2,2021,Northern Cyprus,
2,2021,Oman,56.48
2,2021,Pakistan,50.46
2,2021,Palestine,83.33
2,2021,Philippines,73.61
2,2021,Qatar,68.52
2,2021,Saudi Arabia,57.41
2,2021,Singapore,50.93
2,2021,South Korea,63.89
2,2021,Sri Lanka,79.17
2,2021,Syria,35.65
2,2021,Taiwan,25.0
2,2021,Tajikistan,31.48
2,2021,Thailand,52.78
2,2021,Timor,46.3
2,2021,Turkey,72.22
2,2021,Turkmenistan,
2,2021,United Arab Emirates,62.04
2,2021,Uzbekistan,37.04
2,2021,Vietnam,76.85
2,2021,Yemen,25.0
2,2022,Afghanistan,19.44
2,2022,Armenia,
2,2022,Azerbaijan,59.28
2,2022,Bahrain,37.41
2,2022,Bangladesh,67.55
2,2022,Bhutan,75.46
2,2022,Brunei,50.75
2,2022,Cambodia,33.37
2,2022,China,64.35
2,2022,Georgia,50.0
2,2022,Hong Kong,71.3
2,2022,India,75.75
2,2022,Indonesia,66.39
2,2022,Iran,62.04
2,2022,Iraq,64.28
2,2022,Israel,45.11
2,2022,Japan,47.22
2,2022,Jordan,34.26
2,2022,Kazakhstan,62.04
2,2022,Kuwait,50.38
2,2022,Kyrgyzstan,47.22
2,2022,Laos,70.18
2,2022,Lebanon,45.9
2,2022,Macao,52.78
2,2022,Malaysia,40.04
2,2022,Maldives,
2,2022,Mongolia,37.5
2,2022,Myanmar,78.7
2,2022,Nepal,54.79
2,2022,North Korea,
2,2022,Northern Cyprus,
2,2022,Oman,35.52
2,2022,Pakistan,58.15
2,2022,Palestine,22.22
2,2022,Philippines,58.65
2,2022,Qatar,58.02
2,2022,Saudi Arabia,52.75
2,2022,Singapore,46.3
2,2022,South Korea,46.2
2,2022,Sri Lanka,53.79
2,2022,Syria,37.96
2,2022,Taiwan,25.07
2,2022,Tajikistan,18.52
2,2022,Thailand,48.61
2,2022,Timor,43.62
2,2022,Turkey,36.66
2,2022,Turkmenistan,
2,2022,United Arab Emirates,40.8
2,2022,Uzbekistan,45.37
2,2022,Vietnam,66.67
2,2022,Yemen,26.85
3,2020,Afghanistan,67.59
3,2020,Armenia,
3,2020,Azerbaijan,88.89
3,2020,Bahrain,78.7
3,2020,Bangladesh,87.04
3,2020,Bhutan,83.33
3,2020,Brunei,52.78
3,2020,Cambodia,65.74
3,2020,China,81.94
3,2020,Georgia,100.0
3,2020,Hong Kong,63.89
3,2020,India,100.0
3,2020,Indonesia,50.93
3,2020,Iran,57.41
3,2020,Iraq,96.3
3,2020,Israel,81.48
3,2020,Japan,43.52
3,2020,Jordan,100.0
3,2020,Kazakhstan,92.13
3,2020,Kuwait,81.48
3,2020,Kyrgyzstan,92.13
3,2020,Laos,96.3
3,2020,Lebanon,85.19
3,2020,Macao,46.3
3,2020,Malaysia,78.7
3,2020,Maldives,
3,2020,Mongolia,68.06
3,2020,Myanmar,57.41
3,2020,Nepal,96.3
3,2020,Oman,85.19
3,2020,Pakistan,96.3
3,2020,Palestine,96.3
3,2020,Philippines,100.0
3,2020,Qatar,86.11
3,2020,Saudi Arabia,89.81
3,2020,Singapore,36.11
3,2020,South Korea,75.93
3,2020,Sri Lanka,100.0
3,2020,Syria,84.26
3,2020,Taiwan,31.48
3,2020,Thailand,68.06
3,2020,Timor,75.0
3,2020,Turkey,75.93
3,2020,United Arab Emirates,84.26
3,2020,Uzbekistan,90.74
3,2020,Vietnam,83.33
3,2021,Afghanistan,30.56
3,2021,Armenia,
3,2021,Azerbaijan,70.37
3,2021,Bahrain,61.11
3,2021,Bangladesh,83.33
3,2021,Bhutan,72.22
3,2021,Brunei,40.74
3,2021,Cambodia,72.22
3,2021,China,56.02
3,2021,Georgia,64.81
3,2021,Hong Kong,71.3
3,2021,India,63.43
3,2021,Indonesia,71.76
3,2021,Iran,83.33
3,2021,Iraq,84.26
3,2021,Israel,57.52
3,2021,Japan,48.15
3,2021,Jordan,81.48
3,2021,Kazakhstan,73.15
3,2021,Kuwait,81.48
3,2021,Kyrgyzstan,52.31
3,2021,Laos,16.67
3,2021,Lebanon,92.59
3,2021,Macao,23.15
3,2021,Malaysia,73.61
3,2021,Maldives,
3,2021,Mongolia,71.76
3,2021,Myanmar,77.78
3,2021,Nepal,52.78
3,2021,North Korea,
3,2021,Northern Cyprus,
3,2021,Oman,84.26
3,2021,Pakistan,56.02
3,2021,Palestine,92.59
3,2021,Philippines,81.02
3,2021,Qatar,68.52
3,2021,Saudi Arabia,57.41
3,2021,Singapore,50.93
3,2021,South Korea,58.33
3,2021,Sri Lanka,79.17
3,2021,Syria,30.56
3,2021,Taiwan,25.0
3,2021,Tajikistan,31.48
3,2021,Thailand,47.22
3,2021,Timor,85.19
3,2021,Turkey,72.22
3,2021,Turkmenistan,
3,2021,United Arab Emirates,55.56
3,2021,Uzbekistan,37.04
3,2021,Vietnam,64.81
3,2021,Yemen,34.26
3,2022,Afghanistan,19.44
3,2022,Armenia,
3,2022,Azerbaijan,59.16
3,2022,Bahrain,29.63
3,2022,Bangladesh,19.01
3,2022,Bhutan,73.61
3,2022,Brunei,53.7
3,2022,Cambodia,27.33
3,2022,China,73.61
3,2022,Georgia,47.22
3,2022,Hong Kong,75.0
3,2022,India,55.07
3,2022,Indonesia,66.07
3,2022,Iran,62.04
3,2022,Iraq,45.73
3,2022,Israel,21.3
3,2022,Japan,47.22
3,2022,Jordan,20.37
3,2022,Kazakhstan,62.04
3,2022,Kuwait,21.94
3,2022,Kyrgyzstan,36.11
3,2022,Laos,72.2
3,2022,Lebanon,45.63
3,2022,Macao,54.63
3,2022,Malaysia,40.01
3,2022,Maldives,
3,2022,Mongolia,5.56
3,2022,Myanmar,78.7
3,2022,Nepal,29.28
3,2022,North Korea,
3,2022,Northern Cyprus,
3,2022,Oman,30.63
3,2022,Pakistan,56.72
3,2022,Palestine,22.22
3,2022,Philippines,58.0
3,2022,Qatar,45.92
3,2022,Saudi Arabia,52.54
3,2022,Singapore,46.73
3,2022,South Korea,40.74
3,2022,Sri Lanka,42.64
3,2022,Syria,26.85
3,2022,Taiwan,27.76
3,2022,Tajikistan,15.74
3,2022,Thailand,48.61
3,2022,Timor,43.53
3,2022,Turkey,36.56
3,2022,Turkmenistan,
3,2022,United Arab Emirates,32.37
3,2022,Uzbekistan,49.07
3,2022,Vietnam,66.67
3,2022,Yemen,35.19
4,2020,Afghanistan,84.26
4,2020,Armenia,
4,2020,Azerbaijan,91.67
4,2020,Bahrain,78.7
4,2020,Bangladesh,93.52
4,2020,Bhutan,83.33
4,2020,Brunei,58.33
4,2020,Cambodia,76.85
4,2020,China,73.61
4,2020,Georgia,100.0
4,2020,Hong Kong,66.67
4,2020,India,100.0
4,2020,Indonesia,80.09
4,2020,Iran,59.26
4,2020,Iraq,96.3
4,2020,Israel,94.44
4,2020,Japan,47.22
4,2020,Jordan,100.0
4,2020,Kazakhstan,92.13
4,2020,Kuwait,93.52
4,2020,Kyrgyzstan,92.13
4,2020,Laos,96.3
4,2020,Lebanon,85.19
4,2020,Macao,44.44
4,2020,Malaysia,78.7
4,2020,Maldives,
4,2020,Mongolia,77.78
4,2020,Myanmar,86.11
4,2020,Nepal,96.3
4,2020,North Korea,
4,2020,Oman,92.59
4,2020,Pakistan,96.3
4,2020,Palestine,96.3
4,2020,Philippines,100.0
4,2020,Qatar,86.11
4,2020,Saudi Arabia,94.44
4,2020,Singapore,82.41
4,2020,South Korea,82.41
4,2020,Sri Lanka,100.0
4,2020,Syria,87.04
4,2020,Taiwan,31.48
4,2020,Thailand,76.85
4,2020,Timor,77.78
4,2020,Turkey,77.78
4,2020,United Arab Emirates,89.81
4,2020,Uzbekistan,93.52
4,2020,Vietnam,96.3
4,2020,Yemen,64.81
4,2021,Afghanistan,26.85
4,2021,Armenia,
4,2021,Azerbaijan,73.15
4,2021,Bahrain,56.48
4,2021,Bangladesh,88.89
4,2021,Bhutan,72.22
4,2021,Brunei,40.74
4,2021,Cambodia,83.8
4,2021,China,78.24
4,2021,Georgia,64.81
4,2021,Hong Kong,71.3
4,2021,India,74.54
4,2021,Indonesia,71.76
4,2021,Iran,83.33
4,2021,Iraq,77.31
4,2021,Israel,55.39
4,2021,Japan,49.07
4,2021,Jordan,75.93
4,2021,Kazakhstan,76.85
4,2021,Kuwait,81.48
4,2021,Kyrgyzstan,58.33
4,2021,Laos,86.11
4,2021,Lebanon,81.48
4,2021,Macao,23.15
4,2021,Malaysia,68.06
4,2021,Maldives,
4,2021,Mongolia,96.3
4,2021,Myanmar,81.48
4,2021,Nepal,91.67
4,2021,North Korea,
4,2021,Northern Cyprus,
4,2021,Oman,84.26
4,2021,Pakistan,78.24
4,2021,Palestine,79.63
4,2021,Philippines,81.02
4,2021,Qatar,85.19
4,2021,Saudi Arabia,53.7
4,2021,Singapore,50.93
4,2021,South Korea,58.33
4,2021,Sri Lanka,59.26
4,2021,Syria,57.87
4,2021,Taiwan,25.0
4,2021,Tajikistan,32.41
4,2021,Thailand,59.26
4,2021,Timor,87.04
4,2021,Turkey,87.04
4,2021,Turkmenistan,
4,2021,United Arab Emirates,56.48
4,2021,Uzbekistan,37.04
4,2021,Vietnam,69.91
4,2021,Yemen,34.26
4,2022,Afghanistan,16.67
4,2022,Armenia,
4,2022,Azerbaijan,50.6
4,2022,Bahrain,29.63
4,2022,Bangladesh,13.89
4,2022,Bhutan,57.41
4,2022,Brunei,46.18
4,2022,Cambodia,27.3
4,2022,China,79.17
4,2022,Georgia,21.3
4,2022,Hong Kong,75.0
4,2022,India,50.46
4,2022,Indonesia,52.11
4,2022,Iran,62.83
4,2022,Iraq,45.3
4,2022,Israel,17.59
4,2022,Japan,45.37
4,2022,Jordan,20.37
4,2022,Kazakhstan,56.48
4,2022,Kuwait,21.94
4,2022,Kyrgyzstan,41.67
4,2022,Laos,65.74
4,2022,Lebanon,45.54
